id,date,brand,p.1,f.1,d.1,p.2,f.2,d.2,p.3,f.3,d.3,p.4,f.4,d.4,p.5,f.5,d.5
26,9694,4,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.6499996185,0,0
26,9701,1,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.6499996185,0,0
26,9722,1,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.5899996758,0,0,0.6499996185,0,0
26,9744,2,0.6799998283,0,0,0.5499997139,1,0,0.6799998283,0,0,0.5499997139,1,0,0.5899996758,0,0
26,9763,2,0.6799998283,0,0,0.6599998474,1,0,0.6799998283,0,0,0.6599998474,0,0,0.6499996185,0,0
26,9774,5,0.6799998283,0,0,0.6799998283,1,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
26,9794,4,0.6799998283,0,0,0.5799999237,1,0,0.6799998283,0,0,0.5799999237,1,0,0.5899996758,0,0
26,9807,2,0.5899996758,0,0,0.4899997711,1,1,0.5899996758,0,0,0.4899997711,1,1,0.529999733,0,0
26,9826,2,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5499997139,0,0
26,9897,1,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5799999237,0,0,0.5499997139,0,0
26,9911,2,0.5899996758,0,0,0.4799997807,1,0,0.5899996758,0,0,0.4799997807,1,0,0.5499997139,0,0
26,9926,1,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5899996758,0,0,0.5499997139,0,0
26,9932,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
26,9941,2,0.5899996758,0,0,0.4799997807,1,1,0.5899996758,0,0,0.4799997807,1,1,0.5499997139,0,0
26,9976,1,0.5799999237,1,0,0.5899996758,0,0,0.5799999237,1,0,0.5899996758,0,0,0.5499997139,0,0
26,9997,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
26,10003,2,0.5899996758,0,0,0.5799999237,1,0,0.5899996758,0,0,0.5799999237,1,0,0.5499997139,0,0
26,10009,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
26,10018,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
27,9184,1,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
27,9190,3,0.6799998283,0,1,0.7899999619,0,0,0.6799998283,0,1,0.7899999619,0,0,0.7299995422,0,0
27,9197,2,0.6799998283,0,0,0.5799999237,1,0,0.6799998283,0,0,0.5799999237,1,0,0.7299995422,0,0
27,9259,1,0.5599999428,1,0,0.5599999428,0,0,0.5599999428,1,0,0.5599999428,0,0,0.7299995422,0,0
27,9283,1,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
27,9288,1,0.5599999428,1,0,0.7899999619,0,0,0.5599999428,1,0,0.7899999619,0,0,0.7299995422,0,0
27,9319,2,0.6799998283,0,0,0.5799999237,0,0,0.6799998283,0,0,0.5799999237,0,0,0.7299995422,0,0
27,9360,2,0.6799998283,0,0,0.5399999619,1,0,0.6799998283,0,0,0.5399999619,1,0,0.7299995422,0,0
27,9393,2,0.6799998283,1,0,0.6799998283,0,1,0.6799998283,1,0,0.6799998283,0,1,0.7299995422,0,0
27,9421,1,0.6699995995,1,0,0.6799998283,0,0,0.6699995995,0,0,0.6799998283,0,0,0.6499996185,0,0
27,9479,1,0.5799999237,1,0,0.6799998283,0,0,0.5799999237,1,0,0.6799998283,0,0,0.6499996185,0,0
27,9506,2,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6499996185,0,0
